,artifact_url,star_count,fork_count,language
0,https://github.com/facebook/react,230433,47194,JavaScript
1,https://github.com/vuejs/vue,208167,33674,TypeScript
2,https://github.com/electron/electron,114756,15612,C++
3,https://github.com/axios/axios,105964,10975,JavaScript
4,https://github.com/facebook/create-react-app,102890,26900,JavaScript
5,https://github.com/microsoft/typescript,101478,12550,TypeScript
6,https://github.com/puppeteer/puppeteer,89091,9100,TypeScript
7,https://github.com/fortawesome/font-awesome,74426,12208,JavaScript
8,https://github.com/expressjs/express,65893,16673,JavaScript
9,https://github.com/webpack/webpack,64889,8887,JavaScript
10,https://github.com/lodash/lodash,59961,7063,JavaScript
11,https://github.com/jquery/jquery,59279,20579,JavaScript
12,https://github.com/facebook/docusaurus,57179,8620,TypeScript
13,https://github.com/remix-run/react-router,53490,10364,TypeScript
14,https://github.com/prettier/prettier,49621,4394,JavaScript
15,https://github.com/definitelytyped/definitelytyped,48859,30214,TypeScript
16,https://github.com/vuejs/core,48068,8384,TypeScript
17,https://github.com/ethereum/go-ethereum,47899,20285,Go
18,https://github.com/jestjs/jest,44353,6473,TypeScript
19,https://github.com/pandas-dev/pandas,44031,18075,Python
20,https://github.com/babel/babel,43311,5652,TypeScript
21,https://github.com/yarnpkg/yarn,41461,2731,JavaScript
22,https://github.com/microsoft/monaco-editor,40777,3616,JavaScript
23,https://github.com/evanw/esbuild,38317,1165,Go
24,https://github.com/lerna/lerna,35766,2261,TypeScript
25,https://github.com/gulpjs/gulp,33032,4225,JavaScript
26,https://github.com/immutable-js/immutable-js,32983,1786,TypeScript
27,https://github.com/fastify/fastify,32608,2325,JavaScript
28,https://github.com/swc-project/swc,31369,1238,Rust
29,https://github.com/reactivex/rxjs,30854,3005,TypeScript
30,https://github.com/vercel/swr,30713,1227,TypeScript
31,https://github.com/floating-ui/floating-ui,30308,1617,TypeScript
32,https://github.com/postcss/postcss,28573,1565,TypeScript
33,https://github.com/numpy/numpy,28330,10207,Python
34,https://github.com/caolan/async,28206,2443,JavaScript
35,https://github.com/immerjs/immer,27852,852,JavaScript
36,https://github.com/tokio-rs/tokio,27343,2506,Rust
37,https://github.com/tj/commander.js,26867,1726,JavaScript
38,https://github.com/rollup/rollup,25450,1536,JavaScript
39,https://github.com/eslint/eslint,25232,4576,JavaScript
40,https://github.com/openzeppelin/openzeppelin-contracts,25091,11843,Solidity
41,https://github.com/ai/nanoid,24796,796,JavaScript
42,https://github.com/zloirock/core-js,24653,1660,JavaScript
43,https://github.com/nrwl/nx,23965,2387,TypeScript
44,https://github.com/ethereum/solidity,23551,5828,C++
45,https://github.com/google/flatbuffers,23479,3263,C++
46,https://github.com/mochajs/mocha,22646,3019,JavaScript
47,https://github.com/redux-saga/redux-saga,22532,1974,JavaScript
48,https://github.com/chalk/chalk,22039,897,JavaScript
49,https://github.com/websockets/ws,21837,2443,JavaScript
50,https://github.com/postcss/autoprefixer,21742,1258,JavaScript
51,https://github.com/petkaantonov/bluebird,20448,2334,JavaScript
52,https://github.com/sboudrias/inquirer.js,20382,1303,TypeScript
53,https://github.com/tokio-rs/axum,19592,1077,Rust
54,https://github.com/web3/web3.js,19450,4974,TypeScript
55,https://github.com/motdotla/dotenv,19303,863,JavaScript
56,https://github.com/lit/lit,18939,936,TypeScript
57,https://github.com/facebook/relay,18433,1835,Rust
58,https://github.com/handlebars-lang/handlebars.js,18055,2043,JavaScript
59,https://github.com/mdx-js/mdx,17840,1138,JavaScript
60,https://github.com/emotion-js/emotion,17554,1112,JavaScript
61,https://github.com/radix-ui/primitives,16065,846,TypeScript
62,https://github.com/biomejs/biome,15845,495,Rust
63,https://github.com/typescript-eslint/typescript-eslint,15364,2749,TypeScript
64,https://github.com/microsoft/onnxruntime,14987,2956,C++
65,https://github.com/uuidjs/uuid,14681,907,TypeScript
66,https://github.com/hyperium/hyper,14677,1605,Rust
67,https://github.com/sindresorhus/type-fest,14538,552,TypeScript
68,https://github.com/clap-rs/clap,14466,1055,Rust
69,https://github.com/sindresorhus/got,14348,942,TypeScript
70,https://github.com/formatjs/formatjs,14345,1362,TypeScript
71,https://github.com/shelljs/shelljs,14271,733,JavaScript
72,https://github.com/ajv-validator/ajv,13919,880,TypeScript
73,https://github.com/electron-userland/electron-builder,13751,1749,TypeScript
74,https://github.com/clauderic/dnd-kit,13395,661,TypeScript
75,https://github.com/remarkjs/react-markdown,13354,881,JavaScript
76,https://github.com/vitest-dev/vitest,13249,1205,TypeScript
77,https://github.com/mishoo/uglifyjs,13199,1246,JavaScript
78,https://github.com/browserslist/browserslist,13065,720,JavaScript
