url,star_count,fork_count,is_fork,language,license_name,created_at,updated_at,gitcoin_grants_usd,gitcoin_unique_donors,gitcoin_num_rounds,retro_funding_usd,num_retro_funding_rounds,oso_project_id
https://github.com/npm/agent,7,5,false,JavaScript,,2022-06-30 17:47:07.000000 UTC,2024-09-06 23:49:51.000000 UTC,0.0,0,0,0.0,0,OPbtuvMi2iaOHnSYeDtlxmZllz88T2RS1KXEPUXD-B4=
https://github.com/npm/security-holder,157,58,false,,,2016-03-23 00:22:33.000000 UTC,2024-12-11 17:50:51.000000 UTC,0.0,0,0,0.0,0,OPbtuvMi2iaOHnSYeDtlxmZllz88T2RS1KXEPUXD-B4=
https://github.com/jsdom/domexception,21,8,false,,,2017-08-14 03:04:01.000000 UTC,2024-05-11 21:05:28.000000 UTC,0.0,0,0,0.0,0,O6y5RxX2UyItUlwr1nKz0kW-1GrKvJQYtdBhq1tmtH8=
https://github.com/jsdom/abab,93,19,false,,,2015-08-29 03:21:16.000000 UTC,2024-05-17 16:43:47.000000 UTC,0.0,0,0,0.0,0,O6y5RxX2UyItUlwr1nKz0kW-1GrKvJQYtdBhq1tmtH8=
https://github.com/herumi/mcl-wasm,59,18,false,TypeScript,,2017-11-20 06:46:44.000000 UTC,2024-09-18 03:05:14.000000 UTC,0.0,0,0,0.0,0,fwVFSxFa9STiY1VGWXJ6JAUKMjMK5lij0pBLfW1htXU=
https://github.com/rollup/rollup-pluginutils,45,17,false,TypeScript,,2015-10-24 02:56:00.000000 UTC,2024-02-28 14:57:34.000000 UTC,0.0,0,0,0.0,0,y2BVq7z5MtbNYwLVx6QVtGJ2cQV3ODDXHsIo2n-5Q5Q=
https://github.com/xdg-rs/dirs,188,23,false,Rust,,2020-05-07 09:14:26.000000 UTC,2024-12-07 22:21:47.000000 UTC,0.0,0,0,0.0,0,PjIk4sZMws5_EoyZSdnNakzK_Hn96g3Dudu-2qmjVNg=
https://github.com/acornjs/acorn,10669,889,false,JavaScript,,2012-09-24 10:05:00.000000 UTC,2024-12-14 15:23:07.000000 UTC,0.0,0,0,0.0,0,kE6JfzxRAD6nqSQjvfvIIshF5eGgrPqiA7SRZU2mIH4=
https://github.com/indutny/des.js,28,11,false,JavaScript,,2015-09-06 20:02:31.000000 UTC,2024-01-25 09:39:42.000000 UTC,0.0,0,0,0.0,0,5BghHkKq43MvBPwsXQ1gwKXvhdofSLTPng9pKBtjivI=
https://github.com/indutny/miller-rabin,27,12,false,JavaScript,,2014-11-05 17:31:08.000000 UTC,2023-10-31 16:48:14.000000 UTC,0.0,0,0,0.0,0,5BghHkKq43MvBPwsXQ1gwKXvhdofSLTPng9pKBtjivI=
https://github.com/indutny/hmac-drbg,23,7,false,JavaScript,,2017-02-22 21:22:41.000000 UTC,2024-01-17 10:38:13.000000 UTC,0.0,0,0,0.0,0,5BghHkKq43MvBPwsXQ1gwKXvhdofSLTPng9pKBtjivI=
https://github.com/indutny/minimalistic-crypto-utils,25,5,false,JavaScript,,2017-02-22 21:11:56.000000 UTC,2024-11-28 19:34:44.000000 UTC,0.0,0,0,0.0,0,5BghHkKq43MvBPwsXQ1gwKXvhdofSLTPng9pKBtjivI=
https://github.com/indutny/brorand,18,17,false,JavaScript,,2014-11-05 17:00:04.000000 UTC,2024-04-08 16:49:04.000000 UTC,0.0,0,0,0.0,0,5BghHkKq43MvBPwsXQ1gwKXvhdofSLTPng9pKBtjivI=
https://github.com/indutny/hash.js,319,43,false,JavaScript,,2014-04-25 21:11:44.000000 UTC,2024-12-01 22:57:45.000000 UTC,0.0,0,0,0.0,0,5BghHkKq43MvBPwsXQ1gwKXvhdofSLTPng9pKBtjivI=
https://github.com/indutny/elliptic,1712,399,false,JavaScript,,2014-04-22 12:42:51.000000 UTC,2024-12-14 17:46:20.000000 UTC,0.0,0,0,0.0,0,5BghHkKq43MvBPwsXQ1gwKXvhdofSLTPng9pKBtjivI=
